table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
Subject,subject_type,participant,"Study participant with consent, assent, or waiver of consent.",,,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,EnumSubjectType
Subject,subject_type,non_participant,"An individual associated with a study who was not explictly consented, eg, the subject of a reported family history.",,,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,EnumSubjectType
Subject,subject_type,cell_line,Cell Line,,,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,EnumSubjectType
Subject,subject_type,animal_model,Animal model,,,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,EnumSubjectType
Subject,subject_type,group,A group of individuals or entities.,,,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,EnumSubjectType
Subject,subject_type,other,A different entity type- ideally this will be resolved!,,,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,EnumSubjectType
Demographics,sex,female,Female,,NCIT:C16576,https://anvilproject.github.io/acr-harmonized-data-model/EnumSex,EnumSex
Demographics,sex,male,Male,,NCIT:C20197,https://anvilproject.github.io/acr-harmonized-data-model/EnumSex,EnumSex
Demographics,sex,other,Other,,NCIT:C17649,https://anvilproject.github.io/acr-harmonized-data-model/EnumSex,EnumSex
Demographics,sex,unknown,Unknown,,NCIT:C17998,https://anvilproject.github.io/acr-harmonized-data-model/EnumSex,EnumSex
Demographics,ethnicity,hispanic_or_latino,Hispanic or Latino,,NCIT:C17459,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Demographics,ethnicity,not_hispanic_or_latino,Not Hispanic or Latino,,NCIT:C41222,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Demographics,ethnicity,prefer_not_to_answer,Prefer not to answer,,NCIT:C132222,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Demographics,ethnicity,unknown,Unknown,,NCIT:C17998,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Demographics,down_syndrome_status,d21,Disomy 21 (euploid),D21,PATO:0001393,https://anvilproject.github.io/acr-harmonized-data-model/EnumDownSyndromeStatus,EnumDownSyndromeStatus
Demographics,down_syndrome_status,t21,Trisomy 21 (Down syndrome),T21,MONDO:0008608,https://anvilproject.github.io/acr-harmonized-data-model/EnumDownSyndromeStatus,EnumDownSyndromeStatus
Demographics,vital_status,dead,Dead,,NCIT:C28554,https://anvilproject.github.io/acr-harmonized-data-model/EnumVitalStatus,EnumVitalStatus
Demographics,vital_status,alive,Alive,,NCIT:C37987,https://anvilproject.github.io/acr-harmonized-data-model/EnumVitalStatus,EnumVitalStatus
Family,family_type,control_only,Control Only,Control-only,,https://anvilproject.github.io/acr-harmonized-data-model/EnumFamilyType,EnumFamilyType
Family,family_type,duo,Duo,,,https://anvilproject.github.io/acr-harmonized-data-model/EnumFamilyType,EnumFamilyType
Family,family_type,proband_only,Proband Only,Proband-only,,https://anvilproject.github.io/acr-harmonized-data-model/EnumFamilyType,EnumFamilyType
Family,family_type,trio,Trio (2 parents and affected child),Trio,,https://anvilproject.github.io/acr-harmonized-data-model/EnumFamilyType,EnumFamilyType
